client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,model,exog_setting,uses_future_exog,future_exog_strategy,arima_order,seasonal_order,train_window_rows
134,48,69886.4005,185.6344,264.3604,23.36,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(2, 1, 2)","(0, 0, 0, 0)",2000
134,168,57840.0162,167.2259,240.4995,23.36,0.0055,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(2, 1, 2)","(0, 0, 0, 0)",2000
133,24,1635592.2184,1098.3281,1278.9027,31.83,0.0026,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 1, 3)","(0, 0, 0, 0)",2000
133,48,1561504.9044,1081.1631,1249.6019,31.83,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 1, 3)","(0, 0, 0, 0)",2000
133,168,2340351.2828,1267.1949,1529.8207,31.83,0.0055,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 1, 3)","(0, 0, 0, 0)",2000
220,24,9636.0294,84.1949,98.1633,10.9,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 2)","(0, 0, 0, 0)",2000
220,48,9262.7089,81.6686,96.243,10.9,0.0028,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 2)","(0, 0, 0, 0)",2000
220,168,9957.6318,84.3013,99.7879,10.9,0.0053,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 2)","(0, 0, 0, 0)",2000
29,24,10767.4527,91.7293,103.7663,2.2,0.0025,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(2, 0, 0)","(0, 0, 0, 0)",2000
29,48,15022.0209,99.3664,122.5644,2.2,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(2, 0, 0)","(0, 0, 0, 0)",2000
29,168,13992.1186,100.7297,118.2883,2.2,0.0054,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(2, 0, 0)","(0, 0, 0, 0)",2000
62,24,2867.5063,45.3509,53.5491,10.71,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(0, 1, 2)","(0, 0, 0, 0)",2000
62,48,3117.0914,48.6967,55.8309,10.71,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(0, 1, 2)","(0, 0, 0, 0)",2000
62,168,2767.7987,44.2414,52.6099,10.71,0.0055,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(0, 1, 2)","(0, 0, 0, 0)",2000
269,24,1487.8543,33.6808,38.5727,18.05,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 3)","(0, 0, 0, 0)",2000
269,48,1335.3247,31.1708,36.5421,18.05,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 3)","(0, 0, 0, 0)",2000
269,168,2991.707,41.7191,54.6965,18.05,0.0055,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 3)","(0, 0, 0, 0)",2000
